Commit_Id,PR,Repo
939f13ca685272b0bde19d543dde3ba8f0d905bc,TM-1622 : Integration Test updated for subtenant api.,saas-platform-ms-tenant-manager
b4b9e64180e35f05b9f8b65c9ae30a8c6a492bf4,Pull request #770: Feature/TM-1622 add user count data in subtenants agginfo,saas-platform-ms-tenant-manager
f40e2b4bd17b4467c02e9bfc0b6a5d4a1b84af66,TM-1366 Modify UserStatusEvenHandler to remove impersonation user record,saas-platform-ms-tenant-manager
b2a6af04fdcb4a571a01146419ef9d6ec0289860,TM-1366 Parse tenantId and userId as UUIDs,saas-platform-ms-tenant-manager
185757a675f59e2caa354a26d21e945aa994344a,TM-1366 Implement UserCustomAttributeEventHandler,saas-platform-ms-tenant-manager
9e825103b3980d8e84c7f824bd72ea6d2a5754fc,TM-1622 : updated code with review comments,saas-platform-ms-tenant-manager
d6fa061ac34be88ab832ff793c136bbbf1174a26,Pull request #771: UH-6599-Reverted platform-lib version,saas-platform-ms-tenant-manager
49fc45e057b3bfb2ed752a6a05de0c4d5ab3471c,UH-6599-Reverted platform-lib version,saas-platform-ms-tenant-manager
09a4205e12d77f0a9e6e1bdad0734d958ed0104a,TM-1366 Add UserAuditEventHandler factory,saas-platform-ms-tenant-manager
8d53504db42b815c7eb4a554097a397f606433a7,TM-1622 : updated Test cases,saas-platform-ms-tenant-manager
ef12c3b79f71761e8f0a0735711708487b3980c0,Pull request #768: Feature/UH-6599 update uh micro services with platform lib version 1.52,saas-platform-ms-tenant-manager
ec8def27a64f4b43b27e27b594583ae0fcacd5f8,UH-6599 - Upgrading platform-lib to version 1.52,saas-platform-ms-tenant-manager
30f817f92412b29fd7d5a32c9950f5259c9c36cc,TM-1622 : initial commit,saas-platform-ms-tenant-manager
36ccb7129fb5ae6f66415f0245221834fb4f61a2,EPM-3775 cleanup feature to validate PM & WFM license coupling since PM application is bei,saas-platform-ms-tenant-manager
a3cc953d83044d3964f6fac212df2a419191a098,Pull request #765: TM-1670 : fixed pagination bug,saas-platform-ms-tenant-manager
014df2e8318e9dcf082d58c799c69b6e08d0e094,TM-1670 : Added type filter for Old partnerAggInfo API,saas-platform-ms-tenant-manager
38a09f04fd91c3f649d948e5445a203da7a0975d,TM-1670 : fixed pagination bug,saas-platform-ms-tenant-manager
